Tipo,Data COM,Pagamento,Valor
Dividendos,30/05/2025,13/06/2025,10000000
Dividendos,30/04/2025,15/05/2025,10000000
Dividendos,31/03/2025,14/04/2025,9000000
Dividendos,28/02/2025,18/03/2025,9000000
Dividendos,31/01/2025,14/02/2025,9000000
Dividendos,30/12/2024,14/01/2025,10000000
Dividendos,29/11/2024,13/12/2024,10000000
Dividendos,31/10/2024,14/11/2024,9000000
Dividendos,30/09/2024,14/10/2024,9000000
Dividendos,30/08/2024,13/09/2024,9000000
Dividendos,31/07/2024,14/08/2024,10000000
Dividendos,28/06/2024,12/07/2024,10000000
Dividendos,31/05/2024,14/06/2024,10000000
Dividendos,30/04/2024,15/05/2024,10000000
Dividendos,28/03/2024,12/04/2024,10000000
Dividendos,29/02/2024,14/03/2024,10000000
Dividendos,31/01/2024,16/02/2024,10000000
Dividendos,28/12/2023,15/01/2024,11000000
Dividendos,30/11/2023,14/12/2023,11000000
Dividendos,31/10/2023,16/11/2023,11000000
Dividendos,29/09/2023,16/10/2023,11000000
Dividendos,31/08/2023,15/09/2023,11000000
Dividendos,31/07/2023,14/08/2023,12000000
Dividendos,30/06/2023,14/07/2023,12000000
Dividendos,31/05/2023,15/06/2023,12000000
Dividendos,28/04/2023,15/05/2023,12000000
Dividendos,31/03/2023,17/04/2023,12000000
Dividendos,28/02/2023,14/03/2023,12000000
Dividendos,31/01/2023,14/02/2023,11000000
Dividendos,29/12/2022,13/01/2023,10000000
Dividendos,30/11/2022,14/12/2022,8000000
Dividendos,31/10/2022,16/11/2022,10000000
Dividendos,30/09/2022,17/10/2022,10000000
Dividendos,31/08/2022,15/09/2022,11000000
Dividendos,29/07/2022,12/08/2022,12000000
Dividendos,30/06/2022,14/07/2022,10000000
Dividendos,31/05/2022,14/06/2022,11000000
Dividendos,29/04/2022,13/05/2022,11000000
Dividendos,31/03/2022,14/04/2022,10000000
Dividendos,25/02/2022,15/03/2022,9000000
Dividendos,31/01/2022,14/02/2022,9000000
Dividendos,30/12/2021,14/01/2022,9000000
Dividendos,30/11/2021,14/12/2021,8000000
Dividendos,29/10/2021,16/11/2021,9000000
Dividendos,30/09/2021,15/10/2021,8000000
Dividendos,31/08/2021,15/09/2021,8000000
Dividendos,30/07/2021,13/08/2021,7000000
Dividendos,30/06/2021,15/07/2021,7000000
Dividendos,31/05/2021,15/06/2021,7000000
Dividendos,30/04/2021,14/05/2021,8000000
Dividendos,31/03/2021,15/04/2021,8000000
Dividendos,26/02/2021,12/03/2021,8000000
Dividendos,29/01/2021,12/02/2021,8000000
Dividendos,30/12/2020,15/01/2021,7000000
Dividendos,30/11/2020,14/12/2020,6000000
Dividendos,30/10/2020,16/11/2020,6000000
Dividendos,30/09/2020,15/10/2020,7000000
Dividendos,31/08/2020,15/09/2020,7000000
Dividendos,31/07/2020,14/08/2020,7000000
Dividendos,30/06/2020,14/07/2020,7000000
Dividendos,29/05/2020,15/06/2020,7000000
Dividendos,30/04/2020,15/05/2020,7000000
Dividendos,31/03/2020,14/04/2020,8000000
Dividendos,28/02/2020,06/03/2020,9000000
Dividendos,31/01/2020,14/02/2020,8000000
Dividendos,30/12/2019,14/01/2020,13000000
Dividendos,29/11/2019,12/12/2019,9000000
Dividendos,31/10/2019,14/11/2019,9000000
Dividendos,30/09/2019,15/10/2019,9000000
Dividendos,30/08/2019,12/09/2019,7000000
Dividendos,31/07/2019,15/08/2019,7000000
Dividendos,28/06/2019,15/07/2019,7000000
Dividendos,31/05/2019,14/06/2019,7000000
Dividendos,13/06/2019,14/06/2019,7000000
Dividendos,30/04/2019,15/05/2019,7000000
Dividendos,29/03/2019,15/04/2019,7000000
Dividendos,28/02/2019,15/03/2019,7000000
Dividendos,31/01/2019,14/02/2019,6000000
Dividendos,28/12/2018,15/01/2019,6000000
Dividendos,30/11/2018,17/12/2018,6000000
Dividendos,31/10/2018,16/11/2018,6000000
Dividendos,28/09/2018,15/10/2018,7000000
Dividendos,31/08/2018,17/09/2018,7000000
Dividendos,31/07/2018,14/08/2018,8000000
Dividendos,29/06/2018,13/07/2018,10000000
Dividendos,30/05/2018,15/06/2018,8000000
Dividendos,30/04/2018,15/05/2018,6000000
Dividendos,29/03/2018,16/04/2018,6000000
Dividendos,28/02/2018,15/03/2018,7000000
Dividendos,31/01/2018,15/02/2018,6000000
Dividendos,28/12/2017,15/01/2018,5000000
Dividendos,30/11/2017,14/12/2017,6000000
Dividendos,31/10/2017,16/11/2017,6000000
Dividendos,29/09/2017,16/10/2017,7000000
Dividendos,31/08/2017,15/09/2017,6000000
Dividendos,31/07/2017,14/08/2017,7000000
Dividendos,30/06/2017,14/07/2017,6000000
Dividendos,31/05/2017,14/06/2017,10000000
Dividendos,28/04/2017,15/05/2017,9500000
Dividendos,31/03/2017,17/04/2017,9000000
Dividendos,24/02/2017,14/03/2017,8000000
Dividendos,31/01/2017,14/02/2017,8000000
Dividendos,29/12/2016,13/01/2017,8500000
Dividendos,30/11/2016,14/12/2016,8000000
Dividendos,31/10/2016,16/11/2016,8000000
Dividendos,30/09/2016,17/10/2016,8000000
Dividendos,31/08/2016,15/09/2016,8000000
Dividendos,29/07/2016,12/08/2016,8000000
Dividendos,30/06/2016,14/07/2016,12600000
